"MKCODE_","DONENO_","SESSIONID_","FPNO_","ENTNO_","CELLID_","PROFLID_","STKCODE_","DONEAMT_","DONEPRICE_","DONECAP_","SEATID_","HOLDERACC_","KPTP_","BSTP_","DONETIME_","DATE_","BK_DONENO_","EX_DONENO_","FEE_","ESELL_PROFIT_"
"5","10000003","0","-1","10000006","2648","2650","SR903","1.0000","5497.0000","54970.0000","062898","9999062898","1","0","20180411133343","20180104","47235","47235","0.0000","0.0000"
"5","10000004","0","-1","10000009","2648","2650","SR901","1.0000","5499.0000","54990.0000","062898","9999062898","0","0","20180411133725","20180104","47964","47964","0.0000","0.0000"
"5","10000005","0","-1","10000010","2648","2650","SR901","1.0000","5494.0000","54940.0000","062898","9999062898","1","1","20180411134326","20180104","49843","49843","0.0000","-50.0000"
"5","10000001","52","2","10000004","2648","2688","SR811","1.0000","5533.0000","55330.0000","062898","9999062898","0","0","20180411133325","20180104","47183","47183","0.0000","0.0000"
"3","10000002","0","-1","10000005","2648","2650","IF1806","1.0000","3915.8000","1174740.0000","062898","9999062898","1","1","20180411133339","20180104","47227","47227","27.0190","0.0000"
"4","10000006","55","20","10000013","2730","2733","al1810","1.0000","14615.0000","73075.0000","113287","9999113287","0","0","20180411141330","20180104","59606","59606","0.0000","0.0000"
"5","10000007","0","-1","10000014","2648","2650","SR901","1.0000","5500.0000","55000.0000","062898","9999062898","0","0","20180411141910","20180104","60897","60897","0.0000","0.0000"
"5","10000008","0","-1","10000015","2648","2650","SR805","1.0000","5583.0000","55830.0000","062898","9999062898","0","0","20180411142002","20180104","61219","61219","0.0000","0.0000"
"5","10000009","52","5","10000016","2648","2688","SR905","1.0000","5460.0000","54600.0000","062898","9999062898","0","0","20180411142908","20180104","63591","63591","3.0000","0.0000"
"4","10000010","55","21","10000017","2730","2733","al1810","1.0000","14620.0000","73100.0000","113287","9999113287","2","1","20180411143251","20180104","64532","64532","0.0000","25.0000"
